Filename,True Label,Predicted,Score
fake\129.jpg,0,1,0.63785684
fake\130.jpg,0,0,0.03827337
fake\131.jpg,0,0,0.0032688035
fake\132.jpg,0,1,0.6104565
fake\133.jpg,0,1,0.64319456
fake\134.jpg,0,0,0.03357059
fake\135.jpg,0,0,0.13513896
fake\136.jpg,0,0,2.227738e-06
fake\137.jpg,0,0,0.002491456
fake\138.jpg,0,0,0.00038851216
fake\139.jpg,0,0,0.33757252
fake\141.jpg,0,0,0.48511308
fake\142.jpg,0,0,0.00023777557
fake\143.jpg,0,0,0.086411074
fake\144.jpg,0,0,0.0112165455
fake\145.jpg,0,1,0.73527694
fake\146.jpg,0,0,0.024874149
fake\147.jpg,0,0,0.088670745
fake\148.jpg,0,0,0.058773603
fake\149.jpg,0,1,0.7646092
fake\150.jpg,0,0,4.1291734e-08
fake\151.jpg,0,0,0.2322685
fake\152.jpg,0,0,0.026724843
fake\153.jpg,0,0,0.020418447
fake\154.jpg,0,0,0.027073685
fake\155.jpg,0,0,0.00022375085
fake\156.jpg,0,0,0.056146473
fake\157(1).jpg,0,0,0.0685895
fake\157.jpg,0,0,0.0685895
fake\158(1).jpg,0,0,0.40573174
fake\158.jpg,0,0,0.40573174
fake\159(1).jpg,0,0,0.016620122
fake\159.jpg,0,0,0.016620122
fake\160.jpg,0,1,0.61208194
fake\161.jpg,0,0,0.011775602
fake\162.jpg,0,0,0.18206733
fake\163.jpg,0,0,0.07326964
fake\164.jpg,0,0,0.045278493
fake\165.jpg,0,0,0.0480851
fake\166.jpg,0,0,0.01533986
fake\167.jpg,0,0,0.4503736
fake\168.jpg,0,0,0.046151113
fake\169.jpg,0,0,0.37458986
fake\170.jpg,0,0,0.41667864
fake\171.jpg,0,0,0.12034824
fake\172.jpg,0,0,0.013714958
fake\173.jpg,0,0,1.3392582e-12
fake\174.jpg,0,1,0.5567201
fake\175.jpg,0,0,0.031965304
fake\176.jpg,0,0,0.15210514
fake\177.jpg,0,0,0.48644137
fake\178.jpg,0,0,0.10474195
fake\179.jpg,0,0,0.012306737
fake\180.jpg,0,0,0.04815591
fake\181.jpg,0,0,0.21296144
fake\182.jpg,0,0,0.0721318
fake\183.jpg,0,1,0.5117971
fake\184.jpg,0,0,0.08240007
fake\185.jpg,0,0,0.036993332
fake\186.jpg,0,0,0.05592534
fake\187.jpg,0,0,0.03786889
fake\188.jpg,0,0,0.20748264
fake\189.jpg,0,0,0.24626042
fake\190.jpg,0,0,0.00036347262
fake\191.jpg,0,0,0.015531053
fake\192.jpg,0,0,5.877986e-05
fake\193.jpg,0,0,0.0010141849
fake\194.jpg,0,0,0.13201351
fake\195.jpg,0,0,0.06567397
fake\196.jpg,0,1,0.5970993
fake\197.jpg,0,0,0.0011324577
fake\198.jpg,0,0,0.31666425
fake\199.jpg,0,0,0.03969682
fake\200.jpg,0,0,0.048638318
fake\201.jpg,0,0,0.21975166
fake\202.jpg,0,0,0.08232575
fake\203.jpg,0,0,6.894317e-05
fake\204.jpg,0,0,0.002031948
fake\205.jpg,0,0,0.18032902
fake\206.jpg,0,0,0.0051336396
fake\207.jpg,0,1,0.69063926
fake\208.jpg,0,0,0.005211449
fake\209.jpg,0,0,4.929138e-07
fake\210.jpg,0,0,0.08085197
fake\211.jpg,0,0,0.0067798346
fake\212.jpg,0,0,0.3528737
fake\213.jpg,0,0,0.07326143
fake\214.jpg,0,0,0.007834733
fake\215.jpg,0,0,0.11820183
fake\216.jpg,0,0,0.040159244
fake\217.jpg,0,0,0.012902411
fake\218.jpg,0,0,0.05106695
fake\219.jpg,0,0,0.08055805
fake\220.jpg,0,0,3.1771722e-07
fake\221.jpg,0,0,0.09856882
fake\222.jpg,0,0,0.12558822
fake\223.jpg,0,1,0.6430135
fake\224.jpg,0,0,0.0036706987
fake\225.jpg,0,0,0.015585842
fake\226.jpg,0,0,0.2235669
fake\227.jpg,0,0,0.04768154
fake\228.jpg,0,0,0.052666165
fake\229.jpg,0,0,0.08876767
fake\230.jpg,0,1,0.5416012
fake\231.jpg,0,0,0.15321441
fake\232.jpg,0,0,0.19805105
fake\233.jpg,0,0,0.22381423
fake\234.jpg,0,0,0.1384682
fake\235.jpg,0,0,0.3654451
fake\236.jpg,0,0,0.034542672
fake\237.jpg,0,0,0.016925795
fake\238.jpg,0,0,0.05651665
fake\239.jpg,0,0,0.085889824
fake\240.jpg,0,0,0.0112898
fake\241.jpg,0,0,0.3760394
fake\242.jpg,0,0,0.17619893
fake\243.jpg,0,0,0.018303545
fake\244.jpg,0,0,0.21876594
fake\245.jpg,0,0,0.001697647
fake\246.jpg,0,0,0.21302336
fake\247.jpg,0,1,0.5744277
fake\248.jpg,0,0,0.00593983
fake\249.jpg,0,0,0.34806556
fake\250.jpg,0,0,0.013854041
fake\511.jpg,0,0,0.30485135
fake\5119.jpg,0,0,0.029824406
fake\512.jpg,0,0,0.13864848
fake\5120.jpg,0,0,0.13424218
fake\5121.jpg,0,0,0.123655416
fake\5122.jpg,0,0,0.1583025
fake\5123.jpg,0,0,0.14842322
fake\5124.jpg,0,0,0.014916829
fake\5125.jpg,0,0,0.0690954
fake\5126.jpg,0,0,0.28154796
fake\5127.jpg,0,0,0.34570655
fake\5128.jpg,0,0,7.560693e-11
fake\5129.jpg,0,0,0.055591546
fake\513.jpg,0,0,0.10403125
fake\5130.jpg,0,0,0.0007958914
fake\5131.jpg,0,0,0.0786807
fake\5132.jpg,0,0,0.11132455
fake\5133.jpg,0,0,0.33367917
fake\5134.jpg,0,0,0.023084851
fake\5135.jpg,0,0,0.010367991
fake\5136.jpg,0,0,0.016533617
fake\5137.jpg,0,0,0.009230861
fake\5138.jpg,0,0,0.15774605
fake\5139.jpg,0,0,0.24121602
fake\514.jpg,0,1,0.6497078
fake\5140.jpg,0,1,0.6331432
fake\5141.jpg,0,0,0.041240115
fake\5142.jpg,0,0,0.15466371
fake\5143.jpg,0,1,0.66683495
fake\5144.jpg,0,0,0.12103487
fake\5145.jpg,0,0,0.041802827
fake\5146.jpg,0,0,0.26894075
fake\5147.jpg,0,1,0.57027036
fake\5148.jpg,0,1,0.66219926
fake\5149.jpg,0,1,0.5689876
fake\515.jpg,0,0,4.2551432e-14
fake\5150.jpg,0,0,0.011862155
fake\5151.jpg,0,0,9.719509e-05
fake\5152.jpg,0,0,0.124429025
fake\5153.jpg,0,1,0.571948
fake\5154.jpg,0,0,0.34864002
fake\5155.jpg,0,0,0.2334739
fake\5156.jpg,0,0,0.13808098
fake\5157.jpg,0,0,0.10942065
fake\5158.jpg,0,0,0.07049365
fake\5159.jpg,0,0,0.059231155
fake\516.jpg,0,0,0.04624862
fake\5160.jpg,0,0,0.4168916
fake\5161.jpg,0,0,0.015279083
fake\5162.jpg,0,0,0.010128404
fake\5163.jpg,0,0,0.00647992
fake\5164.jpg,0,0,0.019266695
fake\5165.jpg,0,1,0.8386928
fake\5166.jpg,0,0,0.119202465
fake\5167.jpg,0,0,0.058527976
fake\5168.jpg,0,0,0.033273067
fake\5169.jpg,0,0,0.4861209
fake\517.jpg,0,0,0.06312322
fake\5170.jpg,0,0,0.18364194
fake\5171.jpg,0,0,0.00069187535
fake\5172.jpg,0,0,0.0735254
fake\5173.jpg,0,0,0.061945938
fake\5174.jpg,0,0,0.23352852
fake\5175.jpg,0,0,0.12341542
fake\5176.jpg,0,0,0.43422282
fake\5177.jpg,0,0,0.23768182
fake\5178.jpg,0,0,0.17560644
fake\5179.jpg,0,1,0.80068815
fake\518.jpg,0,0,0.12022035
fake\5180.jpg,0,0,0.016129207
fake\5181.jpg,0,0,0.023771951
fake\5182.jpg,0,1,0.5621276
fake\5183.jpg,0,0,2.5929511e-08
fake\5184.jpg,0,0,0.0072906646
fake\5185.jpg,0,0,0.050351884
fake\5186.jpg,0,0,0.0930487
fake\5187.jpg,0,0,0.0039137155
fake\5188.jpg,0,0,0.078913465
fake\5189.jpg,0,0,0.09018613
fake\519.jpg,0,0,0.003775713
fake\5190.jpg,0,0,0.009068516
fake\5191.jpg,0,1,0.77823025
fake\5192.jpg,0,0,0.28379261
fake\5193.jpg,0,1,0.5977078
fake\5194.jpg,0,0,0.052334316
fake\5195.jpg,0,0,0.0053460244
fake\5196.jpg,0,0,0.3731411
fake\5197.jpg,0,0,0.18183784
fake\5198.jpg,0,0,0.05772367
fake\5199.jpg,0,0,0.009332606
fake\520.jpg,0,0,0.25474465
fake\5200.jpg,0,1,0.7968168
fake\5201.jpg,0,0,0.005753383
fake\5202.jpg,0,0,0.35000846
fake\5203.jpg,0,1,0.5985138
fake\5204.jpg,0,0,0.019803034
fake\5205.jpg,0,0,0.47873238
fake\5206.jpg,0,1,0.8966828
fake\5207.jpg,0,1,0.64371616
fake\5208.jpg,0,0,0.04316506
fake\5209.jpg,0,0,0.03987879
fake\521.jpg,0,1,0.73861295
fake\5210.jpg,0,1,0.94678533
fake\5211.jpg,0,0,0.48750976
fake\5212.jpg,0,0,0.27778062
fake\5213.jpg,0,0,0.24881138
fake\5214.jpg,0,0,1.5764666e-06
fake\5215.jpg,0,0,0.00026269403
fake\5216.jpg,0,1,0.64877015
fake\5217.jpg,0,0,0.00019560866
fake\5218.jpg,0,0,0.00086319074
fake\5219.jpg,0,0,0.02377429
fake\522.jpg,0,0,0.05269227
fake\5220.jpg,0,0,0.000113305985
fake\5221.jpg,0,0,0.017039748
fake\5222.jpg,0,0,0.118038006
fake\5223.jpg,0,1,0.89177024
fake\5224.jpg,0,1,0.8019524
fake\5225.jpg,0,0,0.027424205
fake\5226.jpg,0,1,0.5168852
fake\5227.jpg,0,0,0.03554076
fake\5228.jpg,0,1,0.61455745
fake\5229.jpg,0,0,0.014291202
fake\523.jpg,0,0,0.0010568993
fake\5230.jpg,0,0,0.20248012
fake\5231.jpg,0,0,0.35732225
fake\5232.jpg,0,0,0.034638986
fake\5233.jpg,0,0,0.08950871
fake\5234.jpg,0,0,0.12549166
fake\5235.jpg,0,0,3.2297763e-07
fake\5236.jpg,0,0,0.014677048
fake\5237.jpg,0,0,0.023413097
fake\5238.jpg,0,0,0.08074727
fake\5239.jpg,0,0,0.2567074
fake\524.jpg,0,0,0.046477787
fake\5240.jpg,0,0,0.022714315
fake\5241.jpg,0,0,0.026249466
fake\5242.jpg,0,0,0.011592521
fake\5243.jpg,0,0,0.009725963
fake\5244.jpg,0,0,0.0007707264
fake\5245.jpg,0,0,0.0021196886
fake\5246.jpg,0,0,0.046084873
fake\5247.jpg,0,1,0.54131484
fake\5248.jpg,0,0,0.17487533
fake\5249.jpg,0,0,0.34334588
fake\525.jpg,0,0,0.009773968
fake\5250.jpg,0,0,0.011110749
fake\5251.jpg,0,0,0.086467505
fake\5252.jpg,0,0,0.42219782
fake\5253.jpg,0,0,0.10699269
fake\5254.jpg,0,0,0.04720605
fake\5255.jpg,0,0,0.008664988
fake\5256.jpg,0,0,0.25213274
fake\5257.jpg,0,1,0.8849499
fake\5258.jpg,0,0,0.36491632
fake\5259.jpg,0,1,0.80166495
fake\526.jpg,0,1,0.9501774
fake\5260.jpg,0,0,6.675779e-06
fake\5261.jpg,0,0,0.0047880975
fake\5262.jpg,0,1,0.66711926
fake\5263.jpg,0,1,0.56607485
fake\5264.jpg,0,0,0.28430742
fake\5265.jpg,0,0,0.13933058
fake\5266.jpg,0,0,0.08773576
fake\5267.jpg,0,1,0.5771829
fake\5268.jpg,0,0,3.19819e-10
